error_id,session_id,student_id,stage,error_scope,error_message,raw_error,round_index,metadata,recorded_at
3915e2b01a564ec193712119156e5bcc,5fec46b95d7d4fb78acc56a847043b53,9,defense_question,backend,Defense question response was not valid JSON,YandaojieDefenseServiceError('Defense question response was not valid JSON'),0,"{""subject_id"": ""math"", ""subject_topic"": ""《可爱的小猫》""}",2026-05-28T02:08:09.721000
7421c02db20e461d9d12f4f158e2b6df,f9fe30e6c18447d1b956d9faaaa978b5,20,defense_question,backend,DeepSeek response had empty content,YandaojieDefenseServiceError('DeepSeek response had empty content'),0,"{""subject_id"": ""math"", ""subject_topic"": ""《可爱的小猫》""}",2026-05-28T02:10:04.919000
d73551d35cdc4cab936b6303b7ad3980,2db85724b2a44c2181502df4055bc70d,47,defense_question,backend,Defense question response was not valid JSON,YandaojieDefenseServiceError('Defense question response was not valid JSON'),2,"{""subject_id"": ""math"", ""subject_topic"": ""《可爱的小猫》""}",2026-05-28T02:11:26.865000
5a20d86c0cd84590add2b012e3640fe2,e50c980507954e9faab9355a9a7988c8,4号,defense_question,backend,Defense question response was not valid JSON,YandaojieDefenseServiceError('Defense question response was not valid JSON'),3,"{""subject_id"": ""math"", ""subject_topic"": ""《可爱的小猫》""}",2026-05-28T02:13:38.355000
f8aa416334d14ac3b60bb4cc35049de1,4e38cfadb9384a35b6575d46f922d449,17,defense_question,backend,Unable to generate a Yandaojie defense question,YandaojieDefenseServiceError('Unable to generate a Yandaojie defense question'),1,"{""subject_id"": ""math"", ""subject_topic"": ""《可爱的小猫》""}",2026-05-28T02:14:03.749000
c2c73067b50b4e9b807f720d069be252,ef6089e70115433f826b2fb7ca8a9e8d,32,defense_question,backend,Unable to generate a Yandaojie defense question,YandaojieDefenseServiceError('Unable to generate a Yandaojie defense question'),0,"{""subject_id"": ""math"", ""subject_topic"": ""《可爱的小猫》""}",2026-05-28T02:14:08.269000
97cc08df28514dd88ad8fe9b75304183,fd89609db4ce4f74bb5a34088cea00fa,2,defense_question,backend,Unable to generate a Yandaojie defense question,YandaojieDefenseServiceError('Unable to generate a Yandaojie defense question'),1,"{""subject_id"": ""math"", ""subject_topic"": ""《可爱的小猫》""}",2026-05-28T02:14:14.386000
9924836b428c4de7b7fa8ad86f67f60a,de4d21978f7345b0a4e80ba7538d617f,7,defense_question,backend,Unable to generate a Yandaojie defense question,YandaojieDefenseServiceError('Unable to generate a Yandaojie defense question'),2,"{""subject_id"": ""math"", ""subject_topic"": ""《可爱的小猫》""}",2026-05-28T02:14:24.730000
715c535dc2354461bf366befdbbe88f6,0f43e1e032014d5ca2c8320804c1e5b8,24,defense_question,backend,Unable to generate a Yandaojie defense question,YandaojieDefenseServiceError('Unable to generate a Yandaojie defense question'),2,"{""subject_id"": ""math"", ""subject_topic"": ""《可爱的小猫》""}",2026-05-28T02:14:32.968000
b00c464fa8004d11af4485c5a359bbd9,6e0f02619a0740bb9fd045cf68816ee6,43,defense_question,backend,Unable to generate a Yandaojie defense question,YandaojieDefenseServiceError('Unable to generate a Yandaojie defense question'),3,"{""subject_id"": ""math"", ""subject_topic"": ""《可爱的小猫》""}",2026-05-28T02:14:37.537000
