event_id,session_id,student_id,event_type,stage,round_index,client_timestamp,recorded_at,payload
08c593db48ec4ba080abfdb37d2ee135,c031ae955faa4c9e915d71a20fc5ff82,38,reflection_submitted,reflection,0,2026-05-28T02:07:16.523000,2026-05-28T02:07:16.562000,{}
9457bae147864281b2049fd5e49e5747,73e43a0beb8a4c03a3b51f3703950780,21,reflection_submitted,reflection,0,2026-05-28T02:07:19.868000,2026-05-28T02:07:20.011000,{}
a9f154b1b8fe4979a231192256a7ebb1,c031ae955faa4c9e915d71a20fc5ff82,38,defense_question_generated,reflection,0,2026-05-28T02:07:33.898000,2026-05-28T02:07:33.944000,"{""round_index"": 0, ""model"": ""deepseek-v4-pro""}"
546b7f3f84054282a0fb265af62e6a20,73e43a0beb8a4c03a3b51f3703950780,21,defense_question_generated,reflection,0,2026-05-28T02:07:34.971000,2026-05-28T02:07:35.119000,"{""round_index"": 0, ""model"": ""deepseek-v4-pro""}"
87d6d066b245482bae6f452d78f36224,1cf6b395804148aeaa9bbaf321fd6df9,6,reflection_submitted,reflection,0,2026-05-28T02:07:43.516000,2026-05-28T02:07:49.880000,{}
c8a268e7fb92412eb230b18b61cae6b2,5fec46b95d7d4fb78acc56a847043b53,9,reflection_submitted,reflection,0,2026-05-28T02:07:55.549000,2026-05-28T02:07:55.627000,{}
ca3ec61f32a24f4e8ba78ff19a8b116a,fd13eb646b5e4b4986aaf389dbbe8896,23,reflection_submitted,reflection,0,2026-05-28T02:08:00.432000,2026-05-28T02:08:00.534000,{}
7d737ef2218f412a9ebf16f701cd6a77,c2aa3c13793148bba1eb31f181391b9a,13,reflection_submitted,reflection,0,2026-05-28T02:08:02.072000,2026-05-28T02:08:02.129000,{}
5d58696f18f04a038df3587f1d37afae,e50c980507954e9faab9355a9a7988c8,4号,reflection_submitted,reflection,0,2026-05-28T02:08:02.400000,2026-05-28T02:08:02.858000,{}
539248f2d5eb4bfeaf2b6e7edae48ed1,0da7cf07f26c4b3bb366aa00b857116d,36,reflection_submitted,reflection,0,2026-05-28T02:08:03.379000,2026-05-28T02:08:04.248000,{}
