session_id,student_id,subject_label,subject_topic,objective_index,objective_text,learned,questions
22d13493582741509fd2e9705b0d0aea,1,科学,《厨房里的物质变化》,0,能列举生活中常见的物理变化（如水结冰、盐溶解）和化学变化（如苹果氧化、铁锅生锈）实例，并用“是否产生新物质”这一核心标准对物质变化进行初步分类。,,
fea502ff1e7746e39961439affde92a0,11,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对是如何表示的，数对有什么意义，如何找数对中的规律，如何将规律变为图像,"数对规律对图像有什么影响
"
c2aa3c13793148bba1eb31f181391b9a,13,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对表达,
73e43a0beb8a4c03a3b51f3703950780,21,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,图形变化的规律,
0f43e1e032014d5ca2c8320804c1e5b8,24,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对的运用,
b5aba6b8fab84f859491d4c5e78a841b,22,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,书堆绘图,
f9fe30e6c18447d1b956d9faaaa978b5,20,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,横轴与纵轴，在数对中横轴与纵轴同时乘或除以一个相同的数（0除外）得到的图形与图形最像。,
fd89609db4ce4f74bb5a34088cea00fa,2,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,如何观察图中的数对学习如何找到数对间的规律继续写数对并通过数对画出图案,
675417c4b8114b44b79436e1bf83a4db,18,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,在表示图形轮廓,
4e38cfadb9384a35b6575d46f922d449,17,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,在表示图形轮廓上的点的数对中横纵坐标同时乘一个相同的数（0除外）图形的形状不变,这个规律和商不变有什么关系吗？
7ee1c7b3d6154856a83b2bdaba507dc2,30,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对的前面或后面同时乘或除以一个相同的数，画出来的图形才像,无
616a3dd7c60a4deeaf056c468606b0fa,19,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,在一个数对中，横纵坐标同时乘或除以一个相同的数（零除外），得到的图形与原图形像。,
de4d21978f7345b0a4e80ba7538d617f,7,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对变化图形就会变化,数对读发
aa1383ea890b49d3bc627a6b69811cdd,31,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,"
在上课的时候学到了要按竖列再按横列的排列来写",有些时候找不对点要很久的时间是为什么
367e86cb79a04992b6b549e39422c74c,41,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,知识,1加1为什么=2
0da7cf07f26c4b3bb366aa00b857116d,36,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对里的两个数字同时乘一个不为零的数字与原来图形相向,无
989ea1dd970b47fcb54add063e899444,27,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,掌握数对的前后顺序,
c031ae955faa4c9e915d71a20fc5ff82,38,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对的变化,
ae331b4e716b477babdbd02452383b7a,10号,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对,
1cf6b395804148aeaa9bbaf321fd6df9,6,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对,数对是谁发明的
5fec46b95d7d4fb78acc56a847043b53,9,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,用点定位,
cda0296923954328a259094a34baba3b,39,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对各点按等比例扩大或缩小才与原图形最像,无
9119132b68c94cd9ac3ffa2c594213b9,16,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,我学到了轮廓上点的位置决定了轮廓的形状位置和大小 以及用数对表示点的位置,
ef6089e70115433f826b2fb7ca8a9e8d,32,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,"一个图里的一个点所表示的数对同时乘一个数样子才像
",
b48634af6a9b41568ddfd1e366eab63e,44,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对前后两个点同时乘或除以一个相同的数，图形形状不变。,
2db85724b2a44c2181502df4055bc70d,47,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,如何找到数位,
e566af60059948d9a2377e746d0c0a32,48,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数学知识  语文知识,怎么样考试慢分
e50c980507954e9faab9355a9a7988c8,4号,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对是如何表示的,
724c3ad71fc2439fae9750249f20bd4f,49,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,我学到了将数对中的前或后一个数按规律乘或除相同数会扩大成相同倍数,
44f776e193ac494485e290b107f5d744,40,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对前后两个数同时乘相同的数，改变后的图形像原来的图形,数对前后两个数同时除以相同的数，改变后的图形像不像原来的图形
26c2fc93fd9b4f1fa3cd64c214c2bf80,46,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,如何找规律,数对的位置
ea41f410759f44c5b83b38458f6a6f8b,1,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,如何观察图中的数对，并通过规律改变数对来让他变形,
915041d2bcf84ba2876a5556929ac860,3,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,"如何观察不同数对
找数对中不同的规律
根据规律画出图案
",
6e0f02619a0740bb9fd045cf68816ee6,43,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,我学会了找数对的规律,
7f3cc3500f1c4340973383230874f12c,45,数学,《可爱的小猫》,0,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。,数对的表示以及规律,
